Judul,Waktu,Link,Content,tag1,tag2,tag3,tag4,tag5,source
"Jokowi Kenakan Pakaian Adat Betawi di Sidang Tahunan Terakhirnya, Simbol Terima Kasih untuk Jakarta",16/08/2024,https://nasional.kompas.com/read/2024/08/16/11404101/jokowi-kenakan-pakaian-adat-betawi-di-sidang-tahunan-terakhirnya-simbol," JAKARTA, KOMPAS.com - Presiden Joko Widodo memakai baju adat Betawi saat hadir di Sidang Tahunan MPR RI dan Sidang Bersama DPR RI dan DPD RI di Kompleks Perlemen, Senayan, Jakarta pada Jumat (16/8/2024). Baju yang dikenakan Presiden yakni pakaian adat Bangsawan Ujung Serong asal Betawi. Pakaian tersebut berwana hitam dan dilengkapi dengan peci hitam. Menurut Deputi II Kepala Staf Kepresidenan (KSP), Abetnego Tarigan, pakaian adat Betawi yang dikenakan Presiden kali ini punya makna terima kasih untuk Kota Jakarta. “Presiden memaknai pakaian adat betawi sebagai simbol terima kasih untuk Kota Jakarta yang sudah resmi menjadi Ibu Kota sejak tahun 1966,” kata Abetnego dalam keterangan resmi KSP, Jumat. Adapun ibu kota Indonesia akan segera berpindah ke Ibu Kota Nusantara (IKN) Kalimantan Timur yang dibangun pada era Jokowi. Abetnego mengungkapkan, pakaian adat kali ini dipilih sendiri Presiden. Pakaian itu mencerminkan nilai-nilai kesopanan, ketaatan terhadap agama, kekuatan, dan kebijaksanaan yang disimbolkan dari warna dan motif yang tegas dan berani serta kebijaksanaan yang sangat dihormati dalam budaya Betawi. “Betawi merepresentasikan wajah Indonesia, jauh sebelum Indonesia merdeka, mengenai akulturasi yang kuat dari berbagai suku bangsa di Indonesia,” ungkapnya. Selain itu, ada alasan filosofis di balik baju adat Betawi ini. Yaitu sebagai perjuangan bersama selama 10 tahun ini dalam menghadapi berbagai tantangan bangsa demi memajukan Indonesia. “Seperti halnya pakaian ini yang telah bertahan melintasi zaman, bangsa Indonesia juga telah menunjukkan ketangguhan dan kegigihan dalam membangun negeri dengan cerminan nilai-nilai luhur,” tambah Abetnego.",Presiden Jokowi,Jokowi,sidang tahunan MPR RI 2024,Jokowi adat Betawi sidang mpr 2024,Megawati tak hadiri sidang tahunan MPR 2024,kompas
Amnesty International Beberkan 6 Indikator Krisis Demokrasi di Indonesia,7/18/2024,https://nasional.tempo.co/read/1893144/amnesty-international-beberkan-6-indikator-krisis-demokrasi-di-indonesia,"TEMPO.CO, Jakarta - Amnesty International Indonesia membeberkan enam indikator yang menunjukkan telah terjadi krisis demokrasi di Indonesia. Indikator ini mencakup berbagai lini sosial, mulai dari menciutnya ruang sipil hingga menguatnya otoritarianisme.  Direktur Eksekutif Amnesty Internasional Indonesia, Usman Hamid, mengatakan indikator pertama adalah menguatnya politik represi. Musabab pertama ini, kata dia, lebih banyak berhubungan dengan militer. 20 Tahun Pembunuhan Munir, Kronologi Kematian Aktivis HAM Akibat Racun Arsenik di Pesawat ""Sekarang tentara kalau revisi UU TNI disahkan, mereka bisa menangkap. Bukan hanya masuk ke dalam peranan politik, tapi juga bisa menangkap orang, dan juga bisa berbisnis lagi,"" kata Usman dalam pemaparan materinya pada pertemuan nasional Jaringan Pendidikan Pemilih untuk Rakyat (JPPR) bertema ""Navigasi Masyarakat Sipil Menghadapi Krisis Demokrasi di Indonesia"" di Jakarta Pusat, Kamis, 18 Juli 2024. Usman mengatakan larangan berbisnis bagi TNI akan memperkuat kembali peran politik militer dalam mengamankan agenda-agenda pembangunan negara dan kepentingan swasta. Di saat yang sama, politik represi dilakukan pemerintah lewat pemidanaan, hukum-hukum yang berhubungan dengan siber, dan revisi UU penyiaran yang berpotensi memberangus pers. Usman menyebut politik represi ini bukan warisan dari masa orde baru, melainkan pilihan politik yang disengaja pemerintah untuk mengamankan agenda pembangunan ekonomi. ""Jadi sudah membentuk semacam neo-developmentalisme orde baru,"" katanya. Dua Dekade Pembunuhan Munir, Amnesty: Negara Enggan Tuntaskan Kasus dan Tegakkan Keadilan Menurut Usman, indikator pertama ini diperkuat dalam sejumlah survei yang menunjukkan skor kebebasan sipil Indonesia menurun. Amnesty mengutip data Survei Indikator Politik Indonesia pada 2022 yang menunjukkan 62,9 persen orang takut berpendapat, sementara survei LSI pada 2019 menunjukkan 43 persen orang enggan berpendapat politik. Indikator kedua, kata Usman, adalah resentralisasi atau kembalinya sentralisasi pemerintah yang mengurangi otonomi daerah. Dia mencontohkan undang-undang khusus Papua yang tidak lagi memberikan otonomi khusus. ""Semuanya kembali ke pemerintah pusat,"" ujarnya. Resentralisasi juga merayap ke urusan investasi yang kini semua dikendalikan oleh pusat. Bahkan, Usman melanjutkan, urusan pengelolaan lingkungan sekarang dikendalikan oleh pemerintah pusat. ""Sehingga resentralisasi ini memang membutuhkan pengamanan represi, pengamanan alat-alat koersif dari TNI, dan dari Polri,"" jelasnya. Indikator ketiga adalah menurunnya peran partai politik sebagai pengontrol dan penyeimbang pemerintah. Usman menyoroti hampir tidak ada partai yang beroposisi secara tegas, termasuk PDIP yang terbelah antara kubu Hasto Kristiyanto yang dinilai keras dan kubu Puan Maharani yang cenderung lunak pada pemerintah.  Usman bahkan mengkhawatirkan RUU-RUU yang bermasalah saat ini akan disahkan DPR RI di bawah kepemimpinan anak Ketua Umum PDIP Megawati Soekarnoputri itu. ""Puan berasal dari partai yang seharusnya mengambil pilihan oposisi,"" katanya. Indikator keempat adalah oligopomedia yang menyebabkan politisasi dan monopoli informasi. Di antara ratusan media yang ada, kata Usman, pemiliknya adalah segelintir konglomerat. Dia menyebut nama pengusaha yang memiliki banyak stasiun televisi. Akibat ooligopomedia, kata Usman, frekuensi dalam pemilu yang seharusnya dicurahkan untuk publik bergeser menjadi sangat partisan. Indikator kelima, lanjut Usman, adalah politisasi penegakan hukum yang digunakan untuk mengendalikan oposisi. Amnesty mencatat penangkapan, penahanan, dan kriminalisasi sering kali digunakan untuk membungkam pemimpin daerah atau partai oposisi. Pada periode kedua Presiden Joko Widodo atau Jokowi, Amnesty mencatat sejumlah pelemahan lembaga-lembaga penegak hukum lewat politisasi penguasa. Lembaga negara yang independensinya merosot itu antara lain Polri, kejaksaan, KPK, Mahkamah Agung, hingga Mahkamah Konstitusi. ""Mahkamah Agung menjadi Mahkamah Adik dan Mahkamah Konstitusi menjadi Mahkamah Kakak,"" kata Usman. ""Demokrasi tanpa penegak hukum enggak mungkin ada demokrasi."" Indikator terakhir adalah polarisasi masyarakat sipil yang makin tajam. Menurut Usman, terjadi regresi demokrasi dari bawah yang menjadi ancaman serius bagi demokrasi di Indonesia.  Dia mencontohkan sejumlah kelompok masyarakat sipil mengadopsi pandangan apa yang dia sebut sebagai ""pluralisme represif"", yakni tindakan labelisasi terhadap orang-orang kunci di KPK dengan tuduhan Taliban. Taliban mengacu pada kelompok muslim konservatif di Afganistan yang sering dikaitkan dengan radikalisme. Selain itu, ada juga kelompok-kelompok masyarakat sipil yang gemar saling melaporkan menggunakan UU Informasi Teknologi dan Transaksi Elektronik atau ITE. ""Ini menunjukkan sikap afirmatif penerapan taktik otoriter oleh negara terhadap lawan ideologis mereka,"" kata Usman. ",Amnesty International,Amnesty International Indonesia ,Kebebasan Berpendapat,Indeks Demokrasi ,Revisi UU TNI,tempo
"Jelang Long Weekend, Stasiun Kereta Cepat Halim Ramai Penumpang Malam Ini","Rabu, 08 Mei  2024 19:18 WIB",https://news.detik.com/berita/d-7331666/jelang-long-weekend-stasiun-kereta-cepat-halim-ramai-penumpang-malam-ini,"Stasiun kereta cepat Whoosh di Halim, Jakarta Timur, ramai penumpang malam ini. Mereka memanfaatkan waktu libur panjang akhir pekan ini untuk bepergian ke luar Jakarta. Pantauan detikcom di Stasiun Halim, Rabu (8/5/2024) pukul 18.45 WIB, keramaian penumpang terlihat dari lantai satu Stasiun Kereta Cepat Halim. Terlihat beberapa penumpang mencetak tiket Whoosh hingga belanja sambil menunggu jadwal keberangkatan kereta. Penumpang tampak semakin ramai di lantai dua stasiun. Untuk diketahui, malam ini ada empat jadwal keberangkatan menuju Tegalluar, Bandung, yaitu pukul 18.50 WIB, 19.15 WIB, 20.05 WIB, dan 20.30 WIB.   Para penumpang yang sudah mendapatkan giliran untuk melakukan pengecekan tiket langsung menuju ke lokasi pemeriksaan dan naik ke lantai tiga menuju kereta cepat. Pemberitahuan akan disampaikan petugas lewat pengeras suara. Sementara itu, detikcom melakukan perjalanan menuju Stasiun Halim dari kawasan Mampang Prapatan, Jakarta Selatan. Lalu lintas terpantau ramai lancar.",kereta cepat whoosh,stasiun halim,long weekend,nan,nan,detik
"KPU Tegaskan Pemilih Tak Terdaftar di DPT Bisa ""Nyoblos"", Begini Mekanismenya",13/02/2024,https://nasional.kompas.com/read/2024/02/13/21583481/kpu-tegaskan-pemilih-tak-terdaftar-di-dpt-bisa-nyoblos-begini-mekanismenya," JAKARTA, KOMPAS.com - Komisi Pemilihan Umum (KPU) RI memastikan pemilih yang tidak terdaftar dalam daftar pemilih tetap (DPT) dapat menggunakan hak pilihnya, sebagimana telah diterapkan pada pemilu sebelum-sebelumnya. Ketua KPU RI Hasyim Asy'ari menyampaikan bahwa mereka akan terkategori sebagai Daftar Pemilih Khusus (DPK). Pemilih DPK hanya bisa mencoblos pada pukul 12.00-13.00 atau sejam sebelum TPS tutup. ""Apabila pemilih ketika mengklik jaringan cekdptonline.kpu.go.id dan setelah dimasukan NIK belum muncul namanya, maka tetap akan dilayani dengan cara menggunakan hak pilih daftar pemilih khusus, yaitu pemilih datang hadir ke TPS-TPS sesuai dengan alamat KTP masing-masing,"" kata Hasyim dalam pidatonya, Selasa (13/2/2024). Selebihnya, Hasyim meminta agar setiap pemilih datang ke TPS di mana mereka terdaftar di dalam DPT. Ia juga meminta agar para pemilih yang mengikuti prosedur yang diarahkan oleh Kelompok Penyelenggara Pemungutan Suara (KPPS). Sebelum masuk bilik suara, pemilih diminta untuk memeriksa kondisi surat suara yang diberikan KPPS untuk memastikan surat suara dalam keadaan baik sebelum dicoblos di balik suara.",KPU,pemilu 2024,Hasyim Asy'ari,nan,nan,kompas
Kemenag Luncurkan Gerakan Senam Haji Jaga Ketahanan Fisik Jemaah,4/29/2024,https://nasional.tempo.co/read/1861810/kemenag-luncurkan-gerakan-senam-haji-jaga-ketahanan-fisik-jemaah,"TEMPO.CO, Jakarta - Kementerian Agama atau Kemenag meluncurkan senam haji Indonesia. Kegiatan yang dipusatkan di Asrama Haji Pondok Gede, Jakarta ini diikuti lebih dari 28.000 jamaah haji Indonesia secara luring dan daring. ""Launching senam haji bagian dari ikhtiar menjaga kebugaran jemaah haji agar jemaah bisa melaksanakan rangkaian ibadah haji dengan lancar, sehat dan bugar hingga sehat pula saat pulang,"" tutur Sekretaris Jenderal Kemenag M. Ali Ramdhani dilansir dari laman Kemenag, Ahad, 28 April 2024.  Bantahan Kemenag Disebut Mangkir dalam Pemeriksaan Saksi Pansus Haji: Ada Unjuk Rasa di DPR M. Ali menjelaskaan, pemerintah memberikan perhatian khusus terhadap faktor kesehatan dalam penyelenggaraan haji tahun ini. Sebab, ada dua hal yang jadi alasan pentingnya faktor kesehatan. Pertama, yakni kuota haji tahun ini yang mencapai 241 ribu jamaah. Ini merupakan jumlah terbanyak dalam sejarah penyelenggaraan ibadah haji 1445 H di Indonesia. Dari jumlah itu, ada lebih dari 45 ribu jemaah yang masuk kategori lanjut usia atau lansia.  ""Seperti 2023, tahun ini kita mengusung tagline 'Haji Ramah Lansia,'"" kata Sekjen yang hadir mewakili Menag Yaqut Cholil Qoumas. Pansus Haji Sebut Temukan Banyak Fakta Fukum Ihwal Dugaan Penyimpangan Haji 2024, Apa Saja? Kedua, ada lebih 770 jemaah haji yang wafat tahun lalu. Ini juga jumlah terbanyak dalam 10 tahun terakhir penyelenggaraan ibadah haji. Kesehatan jemaah haji menjadi perhatian karena pemerintah ingin jemaah haji berangkat dalam keadaan sehat. Bisa menunaikan ibadah haji dengan baik, dan pulang ke tanah air juga dalam keadaan sehat. Pria yang kerap disapa Kang Dhani itu menyampaikan, gerakan Senam Haji dikemas untuk menjaga kebugaran dan ketahanan fisik jemaah. ""Gerakan senam ini disusun berdasarkan kajian dan penelitian para pakar kesehatan agar bisa diterapkan untuk semua jamaah haji Indonesia,"" katanya. Senada dengan Sekjen Kemenag, Dirjen Penyelenggara Haji dan Umrah (PHU) Hilman Latief mengatakan, senam haji ini dirumuskan tim Perhimpunan Kedokteran Haji Indonesia (Perdokhi) dan Perhimpunan Dokter Spesialias Kedokteran Fisik dan Rehabilitasi (Perdosri) dengan gerakan low impact. Jenis senamnya merupakan low impact, bukan aerobik yang menguras tenaga. ""Perdokhi sudah mengatur sedemikian rupa, bisa diterapkan di rumah hingga saat perjalanan di pesawat ke tanah suci,"" kata Hilman. Meski low impact, gerakan senam haji diharapkan mampu menjadi bekal jemaah sebelum berangkat agar kondisi saat melaksanakan haji secara sempurna. ""Senam ini juga dapat dilakukan jamaah selama berada di tanah suci,"" tutur Hilman. ",Senam Haji,Kemenag,Jemaah Haji,Ibadah Haji,Asrama Haji,tempo
Bawaslu Minta Jajarannya Siapkan LHP Hadapi Gugatan Sengketa Pemilu 2024,3/19/2024,https://nasional.tempo.co/read/1846666/bawaslu-minta-jajarannya-siapkan-lhp-hadapi-gugatan-sengketa-pemilu-2024,"TEMPO.CO, Jakarta - Anggota Badan Pengawas Pemilihan Umum (Bawaslu) Totok Hariyono meminta jajarannya menyiapkan dan mengumpulkan laporan hasil pengawasan (LHP) yang bersumber dari temuan dan aduan selama tahapan Pemilu 2024 untuk menghadapi perselisihan hasil pemilihan umum di Mahkamah Konstitusi. ""Saya ingin melihat kesiapan teman-teman Bawaslu jelang PHPU di MK. Jadi, dari sekarang mulai kumpulkan LHP yang bersumber dari Form A, temuan Bawaslu, aduan masyarakat, hingga imbauan kepada peserta pemilu selama pra, kampanye, hingga hari tenang,"" kata Totok dalam keterangannya, Senin 18 Maret 2024. Komisi II DPR Bahas Tiga Opsi Soal Kotak Kosong dalam Rapat dengan KPU, Apa Saja? Hal itu disampaikan Totok saat memberikan arahan kepada jajaran Bawaslu secara daring dalam Rapat Pembahasan Perkembangan Bahan Awal Perselisihan Hasil Pemilihan Umum (PHPU) Tahun 2024. Totok meminta jajaran Bawaslu untuk memisahkan LHP pilpres dan pemilu legislatif karena perbedaan tahapan PHPU keduanya di MK. Selain itu, ia meminta LHP khusus apabila terjadi dugaan pelanggaran yang dilakukan secara terstruktur, sistematis, dan masif (TSM) di daerah masing-masing. Pemohon Uji Materi Kotak Kosong Anggap Partai Politik Tak Wakili Kehendak Rakyat Menurut dia, permohonan peserta pemilu tentang PHPU di MK akan lebih sering didalilkan sebagai permohonan yang bersifat TSM. ""Jadi, penyusunan LHP untuk sidang PHPU nanti dipisah pilpres dan pileg, terutama disoroti apabila ada kejadian khusus tentang TSM,"" ujarnya. ",Bawaslu,Sengketa Pemilu 2014,Kecurangan Pemilu,Pemilu 2024,Mahkamah Konstitusi,tempo
Polisi Ungkap Aktivitas Depoy Bandar Narkoba Sebelum Tewas dalam Toren,"Rabu, 29 Mei  2024 20:50 WIB",https://news.detik.com/berita/d-7364274/polisi-ungkap-aktivitas-depoy-bandar-narkoba-sebelum-tewas-dalam-toren,"Polisi menyebutkan pria inisial DK alias Depoy yang ditemukan tewas dalam toren air di Pondok Aren, Tangsel adalah bandar narkoba. Polisi mengungkap aktivitas Depoy bersama jaringannya sebelum ditemukan tewas dalam toren. Hal ini terungkap berdasarkan kesaksian tersangka AA yang ditangkap terkait kasus narkoba pada Sabtu (25/5). Diketahui, sebelumnya AA disuruh oleh P (DPO) untuk mengambil sabu 50 gram dari Cengkareng, Jakarta Barat pada Jumat (24/5). ""Dia (AA) mengambil sabu sama seseorang yang tidak dikenal oleh dia, itu atas suruhan si P yang saat ini DPO. Ini orang Pondok Aren juga nih si P, (AA disuruh ambil sabu) sebesar 50 gram,"" kata Kapolsek Pondok Aren Kompol Bambang Askar Sodiq kepada wartawan di kantornya, Rabu (29/5/2024).   Setelah itu, AA bertemu dengan Depoy dan P di rumah kosong di Gang Samid. Di sana, AA dan Depoy memecah 50 gram sabu itu. ""Sabu tersebut setelah diambil oleh si AA ini langsung diberikan ke P di tempatnya si D alias DK (Depoy). Sabu yang 50 gram itu dipecah di situ, di rumah kosong yang beralamat di Gang Samid itu,"" jelas Bambang. Selain membagi 50 gram sabu, Devoy disebut menjual dan memakai sabu tersebut di rumah kosong dengan teman-temannya. Ada empat orang yang memakai barang haram ketika hendak digerebek polisi pada Sabtu (25/5). ""Selanjutnya pelaku juga selain menjual juga pemakai juga, di tempat yang sama, di rumah kosong itu pada Sabtu (24/5) kita datangi itu yang bersangkutan juga melakukan pemakaian bersama dengan si AA, sama si DK, sama si P dan sama si DWI bareng make di situ,"" ucapnya. Sesaat setelah Devoy dkk pesta narkoba itu, dalam waktu bersamaan polisi mulai bergerak melakukan operasi penggerebekan. Namun ketika itu Devoy diperkirakan sudah kabur ke toren air milik tetangganya. ""Iya jelas, jadi (masuk toren) selesai bagi barang. Waktu kami turun ke sana, tim opsnal melakukan atas keterangan yang bersangkutan (AA), berangkat dari mana, dan di mana, kita langsung sasar,"" pungkasnya.",mayat dalam toren,mayat dalam toren pondok aren,polsek pondok aren,jabodetabek,nan,detik
"Truk Mogok di Perlintasan Kereta Serpong, 17 Perjalanan KRL Terganggu","Sabtu, 17 Feb 2024 18:33 WIB",https://news.detik.com/berita/d-7198555/truk-mogok-di-perlintasan-kereta-serpong-17-perjalanan-krl-terganggu,"Satu unit truk Fuso mogok di pelintasan kereta rel listrik (KRL) kawasan Serpong, Tangerang Selatan sore tadi. Akibatnya, sejumlah perjalanan KRL pun terganggu. ""Mobil Fuso berisi pasir mogok di tengah pelintasan kereta api,"" kata Kasat Lantas Polres Tangerang Selatan AKP Rokhmatullah saat dihubungi, Sabtu (17/2/2024). Dihubungi terpisah, Manajer Humas PT KCI (Kereta Commuter Indonesia (KCI) Leza Arlan mengatakan 17 perjalanan KRL terganggu imbas peristiwa yang ada. Selain itu, pihaknya melakukan rekayasa pola operasi.   ""Akibat kejadian tersebut, perjalanan commuter line terganggu,"" kata Leza. Berikut 17 Perjalanan KRL yang terganggu: 1. Commuter Line No. 1732 (Tanah Abang - Parungpanjang) mengalami keterlambatan 20 menit.2. Commuter Line No. 1734 (Tanah Abang - Rangkasbitung) mengalami keterlambatan 59 menit.3. Commuter Line No. 1736 (Tanah Abang - Rangkasbitung) mengalami keterlambatan 56 menit.4. Commuter Line No. 1738 (Tanah Abang - Serpong) mengalami keterlambatan 55 menit.5. Commuter Line No. 1740 (Tanah Abang - Parungpanjang) mengalami keterlambatan 52 menit.6. Commuter Line No. 1742 (Tanah Abang - Rangkasbitung) mengalami keterlambatan 48 menit.7. Commuter Line No. 1744 (Tanah Abang - Rangkasbitung) mengalami keterlambatan 45 menit.8. Commuter Line No. 1746 (Tanah Abang - Parungpanjang) mengalami keterlambatan 53 menit.9. Commuter Line No. 1747 (Rangkasbitung - Tanah Abang) mengalami keterlambatan 19 menit.10. Commuter Line No. 1749 (Rangkasbitung - Tanah Abang) mengalami keterlambatan 18 menit.11. Commuter Line No. 1755 (Parungpanjang - Tanah Abang) mengalami keterlambatan 18 menit.12. Commuter Line No. 1759 (Rangkasbitung - Tanah Abang) mengalami keterlambatan 59 menit.13. Commuter Line No. 1761 (Rangkasbitung - Tanah Abang) mengalami keterlambatan 27 menit.14. Commuter Line No. 1763 (Rangkasbitung - Tanah Abang) mengalami keterlambatan 52 menit.15. Commuter Line No. 1765 (Rangkasbitung - Tanah Abang) mengalami keterlambatan 40 menit.16. Commuter Line No. 1769 (Rangkasbitung - Tanah Abang) mengalami keterlambatan 33 menit.17. Commuter Line No. 1771 (Rangkasbitung - Tanah Abang) mengalami keterlambatan 31 menit. Berikut rekayasa pola operasi KRL:1. Commuter Line No. 1732 (Rangkasbitung - Tanah Abang), perjalanan hanya sampai Serpong.2. Commuter Line No. 1751 (Parungpanjang - Tanah Abang), perjalanan Dibatalkan3. Commuter Line No. 1752 (Tanah Abang - Rangkasbitung), perjalanan dari Parungpanjang sampai Rangkasbitung.4. Commuter Line No. 1753 (Rangkasbitung - Tanah Abang), perjalanan hanya sampai Parungpanjang.5. Commuter Line No. 1754 (Tanah Abang - Parungpanjang), perjalanan Dibatalkan.6. Commuter Line No. 1775 (Rangkasbitung - Tanah Abang), perjalanan hanya sampai Parungpanjang.7. Commuter Line No. 1776 (Tanah Abang - Parungpanjang), perjalanan Dibatalkan.  Simak Video: Tabrakan KRL Vs Mobil di Antara Stasiun Daru-Tigaraksa  [Gambas:Video 20detik] ",krl,serpong,krl terganggu,jabodetabek,kci,detik
"Jalan Buntu Anies Baswedan di Pilkada Jakarta 2024, Berikut Lika-liku Perjalanannya",8/28/2024,https://nasional.tempo.co/read/1909371/jalan-buntu-anies-baswedan-di-pilkada-jakarta-2024-berikut-lika-liku-perjalanannya,"TEMPO.CO, Jakarta - Bendahara Umum PDIP, Olly Dondokambey memastikan, partainya akan mendaftarkan Pramono Anung-Rano Karno sebagai calon gubernur dan wakil gubernur Pilkada Jakarta 2024. PDIP batal mendukung Anies Baswedan maju Pilkada Jakarta 2024. ""Pram (Pramono) besok mendaftar jam 11 di KPU sama Rano Karno,"" kata Olly, pada 27 Agustus 2024. Terkini: Faisal Basri dalam Kenangan Anies Baswedan, Chatib Basri, dan Goenawan Mohamad; Jokowi Terima Bos Vale Indonesia di Istana Keputusan ini membuat Anies Baswedan, meskipun elektabilitasnya dari berbagai lembaga survei berada di posisi puncak, menemui jalan buntu untuk maju dalam Pilkada Jakarta 2024. Anies bersama PKS Pada 25 Juni 2024, PKS resmi mengusung Anies-Mohamad Sohibul Iman menjadi paslon untuk maju dalam Pilkada Jakarta 2024. DPP PKS meyakini paslon ini sudah memiliki kualifikasi mumpuni dan serasi untuk memimpin Jakarta.  Pengamat Sebut Pilkada Jawa Tengah Bakal Sengit: Waspada Gesekan TNI dan Polri Kendati demikian, pada 20 Agustus 2024, DPP PKS mendukung Ridwan Kamil-Suswono di Pilkada Jakarta 2024. Syaikhu menegaskan, PKS saat ini telah berada dalam KIM. Selain itu, dukungan terhadap Anies-Sohibul Iman secara otomatis telah gugur karena PKS kurang empat kursi dari partai lain sampai 4 Agustus 2024, seperti diberitakan Antara.  Anies dengan NasDem  Pada 22 Juli 2024, NasDem resmi mengusung Anies maju dalam Pilkada Jakarta 2024. Namun, pada 15 Agustus 2024, usai bertemu Ketua Umum Partai Gerindra Prabowo Subianto, Surya Paloh memastikan tidak akan mengusung Anies di Pilkada Jakarta 2024. Surya juga mengklaim Anies telah menerima ditinggal partainya dalam pencalonan Pilkada Jakarta. Surya menyebut Anies merupakan sosok yang cukup matang untuk menerima keputusan NasDem. Anies bersama PKB Pada 21 Juli 2024, Ketua DPW PKB Jakarta, Hasbiallah Ilyas mengatakan, partainya belum bisa memberikan kepastian mengusung Anies dalam Pilkada Jakarta. Meskipun PKB sudah memberikan sinyal dukungan, tetapi masalah utama yang menjadi perhatian adalah penentuan calon wakil gubernur. Selain itu, Hasbi juga mengomentari, dukungan PKS kepada Anies-Sohibul Iman belum bisa dipastikan oleh PKB untuk maju dalam Pilkada Jakarta. Namun, saat ini, PKB sudah resmi bergabung dengan KIM yang menunjukkan dukungan kepada Ridwan Kamil-Suswono.  DPR Menganulir Putusan MK Pada 21 Agustus 2024, Baleg DPR dalam membahas RUU Pilkada tidak mengadopsi Putusan MK Nomor 60/PUU-XXII/2024 terkait penurunan ambang batas pencalonan kepala daerah untuk partai politik. Baleg DPR memutuskan ambang batas Pilkada ditentukan perolehan suara sah partai politik atau gabungan partai politik yang dikaitkan dengan jumlah DPT Pemilu 2024 setiap daerah dengan besaran 10 persen, 8,5 persen, 7,5 persen dan 6,5 persen. Namun, syarat tersebut tidak berlaku bagi partai politik yang mendapatkan kursi di DPRD. Akibatnya, Anies yang berpotensi diusung PDIP tidak dapat maju Pilkada Jakarta. Anies berkunjung ke Kantor DPP PDIP Pada 26 Agustus 2024, Ketua DPP PDIP, Djarot Saiful Hidayat membenarkan, Anies Baswedan mendatangi kantor DPP PDIP bersama Rano Karno untuk berdiskusi. Namun, Djarot mengatakan belum ada keputusan partainya mengenai paslon yang akan diusung PDIP di Pilkada Jakarta. Sebab, persoalan itu menjadi hak prerogatif Ketua Umum PDIP Megawati. Saat ini, PDIP mundur mendukung Anies-Rano dalam Pilkada Jakarta 2024 yang dialihkan mendukung Pramono-Rano.  RACHEL FARAHDIBA R  | TAMARA AULIA | SAVERO ARISTIA WIENANTO | SULTAN ABDURRAHMAN | EKA YUDHA SAPUTRA  ",Anies Baswedan,PDIP,NasDem,PKS,PKB,tempo
Warga Sebut Ada Benda Serupa Jimat pada Mayat Dalam Sarung di Pamulang,11/5/2024,https://megapolitan.kompas.com/read/2024/05/11/19123091/warga-sebut-ada-benda-serupa-jimat-pada-mayat-dalam-sarung-di-pamulang," TANGERANG SELATAN, KOMPAS.com - Seutas tali berwarna hitam melilit perut jenazah pria misterius yang ditemukan dibungkus kain di daerah Pamulang, Tangerang Selatan, Sabtu (11/5/2024). Tali serupa tali sepatu itu tampak tersambung dengan bungkusan kain berbentuk persegi yang juga berwarna hitam. Ukuran bungkusan kain itu sendiri sekitar gabungan tiga jari orang dewasa. ""Jujur saya enggak menyangka melihat itu. Kalau zaman dulu, istilahnya itu jimat,"" ujar Ketua RT setempat bernama Wawan Supriyanto (56) kepada Kompas.com, Sabtu. Wawan tidak mengetahui pasti apa isi bungkusan kain kecil itu. Sebab, penyidik kepolisian memasang garis polisi di sekitar titik penemuan mayat pria terbungkus kain itu. ""Semua orang di sana tadi diarahkan untuk langsung menjauh dari korban. Jadi, saya cuma sekilas lihatnya,"" ujar Wawan. Ia mengaku belum pernah melihat benda seperti itu sebelumnya. Ia berani mengatakan bahwa benda itu adalah jimat karena warga dan penyidik kepolisian mengatakan hal serupa. ""Saya juga awalnya demi Allah enggak berani nyebut itu jimat. Tapi memang ada obrolan kayak begitu bersama warga dan polisi yang datang tadi,"" ujar Wawan. Menurut dia, tidak ada warga setempat yang mengenali identitas korban. Diduga, korban bukan tinggal di daerah tersebut. Mayat pria terbungkus kain itu ditemukan dua orang warga setempat, yakni bernama Fajar dan Dayat, sekitar pukul 07.15 WIB. Awalnya, Fajar berjalan kaki melintasi TKP setelah membeli bubur ayam. Ia memilih mampir melewati area itu karena ingin menikmati banyaknya burung yang beterbangan pada pagi hari. Fajar lantas terkejut dengan gumpalan besar kain di tepi jalan selebar enam meter dengan pengerasan konblok itu. Tak berani memeriksa, ia memanggil rekannya bernama Dayat untuk ikut memeriksa. Benar saja, gumpalan kain besar itu berisi sesosok mayat dengan posisi meringkuk. Fajar dan Dayat segera melaporkan penemuan itu ke Wawan sebagai Ketua RT setempat. Setelahnya, Ketua RT meneruskan laporannya ke Kanit Reskrim Polsek Pamulang. Kanit Resmob Polres Tangsel Ipda Andira Wigata memastikan, pihaknya sudah menyelidiki penemuan mayat pria terbungkus kain itu. Sejauh ini, polisi belum bisa mengidentifikasi identitas pria itu. Polisi baru mengidentifikasi sejumlah luka yang ada pada tubuh pria itu, yakni sayatan benda tajam pada leher, luka bacok pada lengan kiri, jari manis tangan kanan putus, dan jari kelingkingnya nyaris putus. ""(Jasad korban) masih segar, karena memang darahnya masih merah. Jadi perkiraan kami, korban baru saja tewas,"" ujar Andira saat ditemui di lokasi, Sabtu. Mayat pria itu sudah dibawa ke RS Polri Kramatjati, Jakarta Timur untuk diotopsi.",mayat,Pamulang,mayat di Pamulang,nan,nan,kompas
